segment;payment_type;customer_city;customer_state;total_payment;order_numbers
At Risk;boleto;aguai;SP;251,16;1
At Risk;boleto;angra dos reis;RJ;378,93;1
At Risk;boleto;aracaju;SE;186,54;1
At Risk;boleto;aracatuba;SP;102,12;1
At Risk;boleto;arapongas;PR;150,27;1
At Risk;boleto;araputanga;MT;238,68;1
At Risk;boleto;araras;SP;116,83;2
At Risk;boleto;aruja;SP;147,19;2
At Risk;boleto;assis;SP;157,95;2
At Risk;boleto;barrinha;SP;195,46;3
At Risk;boleto;barroso;MG;258,45;1
At Risk;boleto;bebedouro;SP;209,82;1
At Risk;boleto;belo horizonte;MG;803,54;3
At Risk;boleto;blumenau;SC;198,03;1
At Risk;boleto;boituva;SP;304,56;1
At Risk;boleto;botucatu;SP;220,02;1
At Risk;boleto;brasilia;DF;964,77;5
At Risk;boleto;brumado;BA;477,63;1
At Risk;boleto;buriti;MA;229,9;1
At Risk;boleto;cabreuva;SP;82,6;1
At Risk;boleto;cachoeiro de itapemirim;ES;402,28;2
At Risk;boleto;cajamar;SP;102,39;1
At Risk;boleto;campinas;SP;310,86;3
At Risk;boleto;campo mourao;PR;580,9;2
At Risk;boleto;canoas;RS;232,7;1
At Risk;boleto;capao do cipo;RS;103;1
At Risk;boleto;carapicuiba;SP;671,25;1
At Risk;boleto;cariacica;ES;220,08;1
At Risk;boleto;cascavel;PR;251,54;1
At Risk;boleto;clevelandia;PR;123;1
At Risk;boleto;colatina;ES;163,53;1
At Risk;boleto;contagem;MG;345,3;2
At Risk;boleto;cotia;SP;871,53;2
At Risk;boleto;cubatao;SP;152,41;3
At Risk;boleto;curitiba;PR;2410,76;14
At Risk;boleto;fortaleza;CE;165,11;2
At Risk;boleto;foz do iguacu;PR;598,56;1
At Risk;boleto;frutal;MG;512,19;1
At Risk;boleto;gaspar;SC;3666,42;1
At Risk;boleto;guaruja;SP;28,59;1
At Risk;boleto;guarulhos;SP;676,5;3
At Risk;boleto;imbituva;PR;163,53;1
At Risk;boleto;indaiatuba;SP;435,14;3
At Risk;boleto;itamarandiba;MG;707,19;1
At Risk;boleto;itapira;SP;726,06;1
At Risk;boleto;japuiba;RJ;504,51;1
At Risk;boleto;jau;SP;150,54;1
At Risk;boleto;joao pessoa;PB;414,93;2
At Risk;boleto;joinville;SC;228,24;1
At Risk;boleto;jose boiteux;SC;165;1
At Risk;boleto;lavras;MG;285,63;1
At Risk;boleto;londrina;PR;792,63;2
At Risk;boleto;lucianopolis;SP;151,84;1
At Risk;boleto;mairinque;SP;393,15;1
At Risk;boleto;maringa;PR;129,27;1
At Risk;boleto;matias barbosa;MG;215,37;1
At Risk;boleto;matupa;MT;108,73;1
At Risk;boleto;mineiros;GO;336,31;1
At Risk;boleto;mogi mirim;SP;203,16;1
At Risk;boleto;morro do chapeu;BA;310,08;1
At Risk;boleto;niquelandia;GO;120,2;2
At Risk;boleto;nova friburgo;RJ;631,61;1
At Risk;boleto;osasco;SP;386,79;1
At Risk;boleto;osorio;RS;232,71;1
At Risk;boleto;passo fundo;RS;492,84;1
At Risk;boleto;pelotas;RS;1151,57;5
At Risk;boleto;pinhais;PR;475,35;1
At Risk;boleto;piracicaba;SP;1040,52;1
At Risk;boleto;ponta grossa;PR;418,75;2
At Risk;boleto;porto alegre;RS;1553,92;4
At Risk;boleto;porto feliz;SP;173,04;1
At Risk;boleto;primavera do leste;MT;208,74;1
At Risk;boleto;recife;PE;533,13;3
At Risk;boleto;ribeirao pires;SP;268,77;2
At Risk;boleto;ribeirao preto;SP;249,03;1
At Risk;boleto;rio de janeiro;RJ;3808,19;15
At Risk;boleto;rio do sul;SC;71,8;1
At Risk;boleto;rio grande;RS;123;1
At Risk;boleto;rosario do sul;RS;213,34;2
At Risk;boleto;salvador;BA;369,96;1
At Risk;boleto;santa cruz do sul;RS;1714,02;1
At Risk;boleto;santa maria;RS;120,03;1
At Risk;boleto;santo andre;SP;314,4;2
At Risk;boleto;santos;SP;447,38;3
At Risk;boleto;sao bernardo do campo;SP;414,09;2
At Risk;boleto;sao goncalo;RJ;131,95;1
At Risk;boleto;sao jose do rio preto;SP;423,89;2
At Risk;boleto;sao jose dos campos;SP;146,04;1
At Risk;boleto;sao paulo;SP;7781,37;28
At Risk;boleto;saquarema;RJ;126,33;3
