order_month;customer_state;product_category_name_english;order_numbers;order_value;average_price;avg_number_product_per_order
2017-01;AC;"bed_bath_table ";2;538,38;139,9;1
2017-01;AC;"furniture_decor ";1;184,76;169,9;1
2017-01;AL;"garden_tools ";1;159,94;129,99;1
2017-01;AL;"telephony ";1;294,42;131,99;2
2017-01;BA;"auto ";1;114,1;92,1;1
2017-01;BA;"computers_accessories ";1;50,8;30;1
2017-01;BA;"fashion_bags_accessories ";1;160,42;139;1
2017-01;BA;"furniture_decor ";3;392,66;76,3975;1
2017-01;BA;"garden_tools ";2;251,86;97,495;1
2017-01;BA;"health_beauty ";4;1653,64;389,7;1
2017-01;BA;"housewares ";1;117,96;24,99;4
2017-01;BA;"kitchen_dining_laundry_garden_furniture ";1;128,2;110;1
2017-01;BA;"office_furniture ";1;137,6;119,6;1
2017-01;BA;"perfumery ";3;605,84;183,233333333333;1
2017-01;BA;"pet_shop ";3;436,72;95,375;1
2017-01;BA;"sports_leisure ";1;187,49;159,9;1
2017-01;BA;"toys ";3;274,08;71,6266666666667;1
2017-01;CE;"bed_bath_table ";1;96,65;69,9;1
2017-01;CE;"cool_stuff ";1;242,99;219,99;1
2017-01;CE;"fashion_bags_accessories ";1;58,74;33,9;1
2017-01;CE;"furniture_decor ";2;176,51;63,45;1
2017-01;CE;"garden_tools ";1;181;155;1
2017-01;CE;"health_beauty ";1;149,9;129,9;1
2017-01;CE;"telephony ";1;54,9;34,9;1
2017-01;CE;"watches_gifts ";1;305,44;279;1
2017-01;DF;"cool_stuff ";2;947,95;453,95;1
2017-01;DF;"fashion_bags_accessories ";1;83,07;26,45;2
2017-01;DF;"fashion_underwear_beach ";1;102,15;86,25;1
2017-01;DF;"furniture_decor ";2;283,49;75,9666666666667;1
2017-01;DF;"health_beauty ";2;316,87;141,945;1
2017-01;DF;"sports_leisure ";4;348,67;65,2225;1
2017-01;DF;"telephony ";1;22,55;6,9;1
2017-01;ES;"computers_accessories ";1;35,42;20,9;1
2017-01;ES;"consoles_games ";3;1511,22;484,886666666667;1
2017-01;ES;"cool_stuff ";1;203,73;177;1
2017-01;ES;"furniture_decor ";2;150,15;58,4;1
2017-01;ES;"health_beauty ";2;418,07;190,435;1
2017-01;ES;"pet_shop ";1;123,04;70,83;1
2017-01;ES;"toys ";1;50,95;34,9;1
2017-01;GO;"auto ";1;135,3;117,3;1
2017-01;GO;"baby ";1;53;35;1
2017-01;GO;"computers_accessories ";2;402,21;114,333333333333;1
2017-01;GO;"cool_stuff ";3;447,64;129,96;1
2017-01;GO;"fixed_telephony ";2;176,77;41,6333333333333;1
2017-01;GO;"furniture_living_room ";1;259,99;209,99;1
2017-01;GO;"garden_tools ";1;783;51;15
2017-01;GO;"health_beauty ";2;415,96;186,9;1
2017-01;GO;"housewares ";2;193,11;76,365;1
2017-01;GO;"sports_leisure ";1;93,84;66,9;1
2017-01;GO;unknown;1;370,68;349,99;1
2017-01;GO;"watches_gifts ";1;1326,79;1299;1
2017-01;MA;"auto ";1;74,11;47,5;1
2017-01;MA;"computers_accessories ";1;38;18;1
2017-01;MA;"furniture_decor ";2;159,15;52,945;1
2017-01;MA;"housewares ";1;90,61;63,9;1
2017-01;MA;"perfumery ";1;336,56;309,9;1
2017-01;MA;"sports_leisure ";1;99,67;72,9;1
2017-01;MG;"auto ";4;1206,79;278,995;1
2017-01;MG;"baby ";6;935,76;65,2241666666667;2
2017-01;MG;"bed_bath_table ";6;600,01;83,1966666666667;1
2017-01;MG;"computers_accessories ";3;278,61;78,9;1
2017-01;MG;"consoles_games ";4;629,22;103,958;1
2017-01;MG;"construction_tools_construction ";1;335;310;1
2017-01;MG;"cool_stuff ";5;747,92;80,005;1
2017-01;MG;"fashion_bags_accessories ";3;302,42;63,65;1
