seller_id;seller_state;late_percentage;average_review_score;total_orders;total_revenue
327b89b872c14d1c0be7235ef4871685;AM;66.666666666666;2;3;1258,8
1444c08e64d55fb3c25f0f09c07ffcf2;BA;0.000000000000;1;1;2818,74
2b402d5dc42554061f8ea98d1916f148;BA;0.000000000000;5;1;363,79
398cb257329ef7af7f1943a8974a3cbc;BA;0.000000000000;5;1;161,37
4221a7df464f1fe2955934e30ff3a5a1;BA;0.000000000000;4;5;1089,04
43753b27d77860f1654aa72e251a7878;BA;0.000000000000;5;1;66,28
4aba391bc3b88717ce08eb11e44937b2;BA;13.333333333333;3;29;8435,21
4fb41dff7c50136976d1a5cf004a42e2;BA;33.333333333333;4;3;1296,77
53243585a1d6dc2643021fd1853d8905;BA;3.676470588235;4;356;233703,75
651530bf5c607240ccdd89a30c9c9712;BA;0.000000000000;4;1;224,45
659e8466eb3ff1b0e8740d74fb7bbedd;BA;0.000000000000;4;11;1880
75d34ebb1bd0bd7dde40dd507b8169c3;BA;13.888888888888;3;62;16479,51
a3dd39f583bc80bd8c5901c95878921e;BA;2.631578947368;4;34;5485,32
b00af24704019bd2e1b335e70ad11f7c;BA;0.000000000000;5;1;207,25
c72de06d72748d1a0dfb2125be43ba63;BA;0.000000000000;4;21;18733,18
d03698c2efd04a549382afa6623e27fb;BA;5.000000000000;4;17;9467,77
d2e753bb80b7d4faa77483ed00edc8ca;BA;6.250000000000;3;14;1893,7
eb4a59a06b3948e851a7d7a830bcbc42;BA;0.000000000000;3;2;108
f3055483058c84d75ca2a3314fb4deef;BA;0.000000000000;1;1;103,29
fc59392d66ef99377e50356ee4f3b4e1;BA;0.000000000000;3;5;606,96
21c62b998a043ebe31161d38f84929fc;CE;0.000000000000;4;4;841,33
299c89a525fee36c567f4fe72f038100;CE;0.000000000000;2;2;757,75
38102b031c2a15e54623d711bfc753d3;CE;0.000000000000;3;9;809,41
3da38366e7bd9baf6369071f782ecdf0;CE;100.000000000000;1;1;86,43
578fa3a9cb6b6dceab39231ad59cdaca;CE;33.333333333333;3;3;187,2
8d79c8a04e42d722a75097ce5cbcf2ef;CE;14.285714285714;4;27;3535,16
bbf9ad41dca6603e614efcdad7aab8c4;CE;0.000000000000;4;14;8622,26
c4fabeea6e569d42d02993bb1f4f1cbc;CE;9.090909090909;4;11;1136,52
c7246702dc991a06d788120dc7544391;CE;0.000000000000;5;1;72,52
c747d5b92c7648417faea95d36d763e8;CE;0.000000000000;5;1;224,75
d4828feed4cda2cd9d6b37899a95a71e;CE;0.000000000000;2;1;62,11
dbdd0ec73a4817971d962698f2fea022;CE;6.250000000000;4;16;8174,8
191d55f7edb8524d525ed01b20fe32e8;DF;33.333333333333;2;3;812,8
2493dc3f20131696a0ecdb9948051a8d;DF;0.000000000000;4;4;575,07
293dee954235e4e4e43f129313625ebe;DF;0.000000000000;5;8;2095,85
2a50b7ee5aebecc6fd0ff9784a4747d6;DF;100.000000000000;1;1;264,24
2addf05f476d0637864454e93ba673d5;DF;0.000000000000;5;12;4877,64
3c487ae8f8d7542beff5788e2e0aea83;DF;3.030303030303;3;30;10105,35
4170f6a9367e6b5d6401d03ce6d54569;DF;20.000000000000;4;4;661,81
42bde9fef835393bb8a8849cb6b7f245;DF;2.500000000000;4;35;8487,84
432c37c9dfba871172ec162e20118b8c;DF;14.035087719298;4;46;3938,54
43b2c864251aa0ce4030c746984e088a;DF;0.000000000000;3;2;129,32
44073f8b7e41514de3b7815dd0237f4f;DF;4.605263157894;3;143;21814,87
4a1917ef994878940e1fb03eeb787ad7;DF;0.000000000000;2;2;846,62
5656537e588803a555b8eb41f07a944b;DF;7.446808510638;3;173;11433,1
6b333a05bf188ef3e1f1662a86bd9855;DF;7.692307692307;4;12;4554,88
7354220fb240bde543b3c40c060d41e7;DF;0.000000000000;4;7;837,13
75745ef7bc7d4f3ea3380f6f5303f514;DF;0.000000000000;5;3;277,32
768de2a4fc06aacecb9a586ccc30746a;DF;0.000000000000;4;14;713,53
77e4abfd739aed9c46480f90f81c0eb4;DF;0.000000000000;4;18;4092,21
7ecd59e5e20407131822c1a68ac59c1f;DF;13.793103448275;4;24;2054,52
89a51f50b8095ea78d5768f34c13a76f;DF;0.000000000000;4;10;854,26
b5abf4f36adc043117b4fca82c22984c;DF;25.000000000000;2;11;1531,79
b9ec22de23f18567de0e09d776ca0309;DF;0.000000000000;5;2;382,47
bd0389da23d89b726abf911cccc54596;DF;7.777777777777;4;87;9128,47
bdae679a9b282249bc23b9b69dae9a99;DF;0.000000000000;3;6;851,98
c9a06ece156bb057372c68718ec8909b;DF;0.000000000000;3;11;4648,29
d3674f271c91f824f82d24d92011f669;DF;10.000000000000;4;20;2101,82
e38db885400cd35c71dfd162f2c1dbcf;DF;12.500000000000;4;30;2737,55
e8a85b5f3df47be0984c55fd4064dbb4;DF;14.285714285714;4;8;965,99
edd066cd02126d7800f9b66e980e9931;DF;16.666666666666;5;6;1173,93
f3b80352b986ab4d1057a4b724be19d0;DF;0.000000000000;4;87;12692,73
001cca7ae9ae17fb1caed9dfb1094831;ES;5.084745762711;3;197;33527,92
15aac934c58d886785ac1b17953ea898;ES;15.384615384615;4;25;5019,6
2c9005d8043aff18b8557ffb7b13cda4;ES;0.000000000000;5;1;129,64
2f4b9d112bfa44a214bc6cef085d17c8;ES;0.000000000000;4;4;372,08
2f73e04d12cdf0c945ded66bb3fcf6c7;ES;0.000000000000;3;3;1460,85
31eec405c9bb71dec8e2629a92e764fa;ES;0.000000000000;4;5;427,13
33dd941c27854f7625b968cc6195a552;ES;0.000000000000;4;5;7168,41
406740ee611378a662d274c7d8c43c4a;ES;20.000000000000;4;8;1972,08
41da412d33e8da4f22baf55cb1bde82c;ES;0.000000000000;4;15;1237,06
51209b446b2073894bdc0face6c73ffc;ES;0.000000000000;4;1;219,44
544863df86ed3b78a04e0820d41430ee;ES;0.000000000000;5;1;39,17
5db42a6cd9bf1bf0d3aab9582767f168;ES;0.000000000000;5;1;219,33
5f57db27027655e6c6a391601daa0258;ES;0.000000000000;5;1;151,04
61f159ef6da2d441951d2c0efa719362;ES;0.000000000000;1;2;131,91
7994b065a7ffb14e71c6312cf87b9de2;ES;0.000000000000;5;5;597,34
a353b1083c9863d756d9404695016d64;ES;0.000000000000;5;1;137,09
a7ecf689b40a44361e259b28939023e4;ES;0.000000000000;5;1;410,91
a806a4bb063ea7ca6d374eafa50a6058;ES;0.000000000000;3;5;405,27
b0398568231ba5e6734af1881671a317;ES;0.000000000000;4;4;770,12
cb6c9f5888a7a090c75beaf615925792;ES;9.090909090909;3;11;1008,97
dd4d95ba2d15c071e6c695e2ef6ce169;ES;50.000000000000;4;4;1962,41
efff9341f3f8f5237b44ff67ed36a7bf;ES;0.000000000000;4;5;972,65
f3295428338a40977a03f555246a70f4;ES;28.571428571428;3;7;769,38
003554e2dce176b5555353e4f3555ac8;GO;0.000000000000;5;1;139,38
01bcc9d254a0143f0ce9791b960b2a47;GO;0.000000000000;4;10;1644,69
05a940b4ecae36cadfd8e93bd9c43257;GO;0.000000000000;3;10;1148,94
0daf5180aa44356f60f8effa533b55a2;GO;50.000000000000;5;2;183,63
0ec28cec4046a4a199b6de9b4c891d97;GO;0.000000000000;5;3;352,64
13d95f0f6f73943d4ceffad0fc2cd32c;GO;100.000000000000;3;1;309,32
17908cf9b444ee34047cadd5c0f4a516;GO;9.090909090909;4;11;2495,41
2d42ebcda99fd55f6f4bc2f1ca035d50;GO;0.000000000000;4;10;1203,97
31e60bf8d103ce47932a85f5562deb16;GO;0.000000000000;5;1;239,04
376a891762bbdecbc02b4b6adec3fdda;GO;3.448275862068;4;57;7693,63
39c763cca83e654764b7a4a650fb9b7c;GO;18.181818181818;3;11;984,21
39f776d2974049026ff531fc42ef2a3e;GO;0.000000000000;4;3;1174,41
3aa3c89ae3cd482385568be76120f63c;GO;0.000000000000;4;1;48,94
42d4b7e70819438f5ada61c965e92d7e;GO;0.000000000000;1;1;100,78
557f22c76691849db52d2abccf0015d0;GO;0.000000000000;3;12;1099,57
578460d8319c51dab351cd9db95eadfe;GO;0.000000000000;3;1;270,45
65b081a070633e057c462abdd6fb9dd8;GO;0.000000000000;4;19;2326,67
6a38087bc8ad4f89ff453561005f6dea;GO;0.000000000000;4;15;2381,35
6b89abe95848c850399130d149a39b63;GO;0.000000000000;4;8;1465,73
6bd503a8230299c9316fb0f726933927;GO;20.000000000000;4;4;453,89
70125af26c2d6d4ef401a1d02ae7701f;GO;50.000000000000;4;5;629,62
750303a20e9c56b2a6bc45cdce0b897d;GO;3.508771929824;4;54;9394,81
75fbb52eda0cbc24f479d3b2fbfa8d3e;GO;4.761904761904;4;39;2039,98
7b7ed56ae755e2880f2b69632e839c1e;GO;20.000000000000;4;5;456,6
8629a7efec1aab257e58cda559f03ba7;GO;100.000000000000;1;1;64,11
8ab42aa58097fd4668d60cc648225d5f;GO;0.000000000000;4;20;3210,39
8cb7c5ddf41f4d506eba76e9a4702a25;GO;0.000000000000;3;2;182,37
